UTC,FMS_ALT_PRES,FMS_TAS,FMS_SAT,FMS_LAT,FMS_LON,FMS_GRD_SPD,FMS_HDG,FMS_TRK,FMS_WNS,FMS_WND,IRS_PITCH,IRS_ROLL,IRS_VERT_ACC,ADC_IAS,GPS_ALT,A_DewPoint,A_CabinPressure,A_SurfTemp,A_TotalTemp,A_JNO2_Nadir,A_JNO2_Zenith,A_RadarAlt,C_StaticPressure,C_DiffPressure,C_StatTempDegC,C_PotTempDegK,C_MachNumber,C_CabAltitude,C_VaporPresWater,C_SatVaporPresWater,C_SatVaporPresIce,C_MixingRatio,C_RelHumidity
78182,10488.2,250.08,9.57,39.555828,-105.047775,244.94,72.0,66.09,,,-0.96,36.45,0.004,207.04,11181.8,3.6,12.556,31.08,17.66,0.001925,0.008242,,685.08,70.83,9.59,315.022,0.378,4290.9004,7.9333,11.986,13.1455,7.28694,67.49
78183,10480.2,248.82,10.0,39.556171,-105.046364,244.34,75.26,69.49,,,-0.79,36.67,0.059,207.64,11164.8,4.17,12.555,32.22,17.76,0.001927,0.008238,,685.45,70.148,9.78,315.177,0.376,4292.0137,8.2595,12.1341,13.3313,7.58615,69.49
78184,10464.6,249.31,9.93,39.556492,-105.044968,243.98,78.58,72.34,,,-1.06,36.48,-0.006,207.24,11151.0,4.65,12.554,33.15,17.74,0.001922,0.008237,,685.9,70.889,9.68,315.013,0.377,4293.9458,8.5395,12.0577,13.2354,7.84134,72.35
78185,10450.5,249.32,9.57,39.556728,-105.043556,243.61,82.17,75.98,,,-1.08,36.2,0.006,204.38,11136.9,5.04,12.554,33.92,17.67,0.001915,0.008226,,686.24,69.802,9.73,315.022,0.375,4295.7998,8.7788,12.0968,13.2844,8.05979,73.37
78186,10437.2,247.2,10.0,39.556885,-105.04213,243.36,85.73,79.44,,,-1.03,36.27,-0.036,203.67,11124.7,5.36,12.553,34.55,17.79,0.00191,0.008223,,686.54,68.307,10.01,315.294,0.371,4297.6641,8.9761,12.3256,13.572,8.23974,72.11
78187,10423.5,245.07,10.07,39.556953,-105.040634,242.97,89.39,83.49,,,-1.09,36.41,-0.013,204.2,11110.6,5.54,12.553,34.98,17.83,0.001902,0.008222,,686.87,67.6,10.13,315.384,0.369,4298.0654,9.0853,12.4245,13.6964,8.33737,73.42
78188,10410.2,244.92,10.43,39.556953,-105.0392,242.36,93.12,86.84,,,-0.97,37.0,0.033,205.0,11094.7,5.55,12.552,35.0,17.85,0.001896,0.008213,,687.35,68.257,10.08,315.267,0.37,4298.9268,9.0922,12.3845,13.646,8.33781,74.15
78189,10394.2,245.83,10.0,39.556934,-105.037735,241.98,96.54,90.36,,,-0.88,37.27,-0.018,204.65,11078.8,5.59,12.551,34.54,17.88,0.001887,0.008196,,687.67,69.055,10.03,315.172,0.372,4300.5493,9.116,12.3447,13.5959,8.35595,73.6
78190,10381.8,245.68,10.0,39.556782,-105.036301,241.57,99.91,93.39,,,-0.87,37.88,-0.073,205.94,11066.2,5.7,12.551,33.7,17.96,0.00188,0.00818,,687.99,69.346,10.08,315.186,0.373,4302.332,9.1906,12.3871,13.6493,8.42128,75.23
78191,10364.0,246.14,10.07,39.556683,-105.034866,241.1,102.84,96.81,,,-0.6,38.35,-0.005,202.77,11051.4,5.79,12.55,32.85,17.82,0.00187,0.008156,,688.31,68.783,10.01,315.063,0.371,4303.165,9.2423,12.3263,13.5728,8.46532,74.34
78192,10347.0,244.69,10.5,39.556416,-105.033463,240.61,105.86,100.37,,,-1.04,36.0,-0.019,203.0,11034.8,5.86,12.549,32.38,17.86,0.001837,0.008166,,688.66,68.073,10.13,315.15,0.369,4305.5322,9.2927,12.4254,13.6975,8.50775,75.15
78193,10335.5,243.68,10.43,39.556099,-105.032066,240.24,109.65,104.7,,,-1.25,29.63,0.043,202.46,11016.1,5.98,12.548,32.42,17.86,0.001766,0.00823,,689.23,66.867,10.26,315.219,0.366,4307.3076,9.3668,12.5332,13.8335,8.56935,73.21
78194,10323.2,241.88,10.07,39.555695,-105.030716,240.12,112.99,107.77,,,-1.0,28.74,0.001,202.14,10997.7,6.06,12.547,32.93,17.94,0.001746,0.008244,,689.62,66.508,10.38,315.307,0.365,4309.1694,9.4211,12.638,13.9658,8.61472,74.15
78195,10305.0,242.01,10.5,39.555244,-105.029396,239.99,115.3,110.63,,,-0.81,28.71,-0.011,202.59,10979.5,6.09,12.546,33.78,17.95,0.001737,0.00825,,689.97,66.23,10.43,315.309,0.364,4311.5796,9.4423,12.6741,14.0113,8.62992,74.59
78196,10288.0,242.09,10.5,39.554802,-105.028076,239.73,117.21,112.77,,,-0.83,28.22,-0.039,200.89,10964.6,6.14,12.545,34.72,17.93,0.001725,0.008262,,690.37,65.58,10.48,315.319,0.362,4314.1562,9.4733,12.7217,14.0715,8.65358,74.27
78197,10272.8,239.7,10.65,39.55431,-105.02681,239.38,119.13,115.48,,,-0.97,24.82,-0.039,201.72,10947.7,6.19,12.544,35.48,18.09,0.001688,0.008308,,690.75,64.283,10.78,315.598,0.359,4316.5371,9.505,12.9751,14.3925,8.67816,72.59
78198,10256.2,237.2,11.35,39.553787,-105.025551,239.36,121.62,117.85,,,-1.26,21.4,-0.035,201.48,10930.9,6.16,12.543,35.86,18.11,0.00165,0.008347,,691.15,64.137,10.82,315.594,0.358,4318.0522,9.4847,13.0133,14.4411,8.65424,73.72
78199,10242.2,236.54,10.57,39.553185,-105.024315,239.12,124.06,120.33,,,-1.25,21.64,-0.008,200.83,10911.8,6.07,12.542,35.92,18.12,0.001645,0.008338,,691.7,62.38,11.03,315.747,0.353,4319.8623,9.4247,13.1894,14.6647,8.59188,71.42
78200,10224.0,236.69,10.93,39.552559,-105.02317,239.12,126.13,122.22,,,-1.22,21.43,0.053,199.87,10890.9,5.99,12.542,35.81,18.16,0.001641,0.00833,,692.11,61.964,11.11,315.788,0.352,4321.1431,9.3744,13.2649,14.7606,8.54017,72.82
78201,10203.2,237.58,10.65,39.551914,-105.021996,239.01,127.82,124.19,,,-1.27,20.95,0.001,199.24,10870.2,5.92,12.541,35.68,18.12,0.00163,0.008329,,692.73,63.151,10.95,315.529,0.355,4323.6455,9.3278,13.1225,14.5795,8.48949,70.25
78202,10183.0,234.52,11.43,39.55127,-105.020851,239.12,129.12,125.87,,,-1.17,20.75,-0.01,199.69,10854.4,5.85,12.54,35.65,18.12,0.001626,0.008325,,693.1,62.103,11.06,315.606,0.352,4324.9912,9.2822,13.2224,14.7066,8.44271,70.33
78203,10162.2,233.99,11.07,39.550575,-105.01973,239.12,130.34,127.84,,,-1.18,19.8,-0.005,199.46,10837.0,5.86,12.539,35.68,18.17,0.001614,0.008331,,693.49,61.146,11.23,315.736,0.35,4326.4229,9.2893,13.3657,14.8889,8.44451,68.68
78204,10153.2,230.44,11.43,39.549847,-105.018654,239.13,131.62,129.7,,,-1.24,18.19,0.011,200.98,10819.5,5.89,12.539,35.55,18.5,0.001595,0.008356,,693.95,61.689,11.49,315.975,0.351,4327.582,9.3129,13.6058,15.1953,8.4606,66.94
78205,10128.8,231.46,11.0,39.549095,-105.017624,239.26,133.25,131.74,,,-1.42,16.69,-0.041,202.43,10800.4,5.92,12.538,35.16,18.85,0.001579,0.008374,,694.45,63.182,11.67,316.106,0.355,4328.311,9.3285,13.7674,15.4022,8.4688,67.65
78206,10113.5,234.71,11.07,39.548309,-105.016617,239.51,135.44,133.31,,,-1.4,16.85,-0.048,201.44,10780.9,5.78,12.538,34.7,18.78,0.001578,0.008375,,694.98,61.979,11.74,316.113,0.351,4329.3433,9.2376,13.8286,15.4804,8.37872,64.32
78207,10103.5,232.69,11.57,39.547512,-105.015625,239.63,137.54,134.66,,,-1.4,18.41,-0.021,199.89,10761.3,5.52,12.537,34.34,18.7,0.001591,0.008353,,695.39,61.704,11.7,316.016,0.351,4331.3096,9.0729,13.7946,15.437,8.22236,66.33
78208,10086.0,233.81,12.0,39.546715,-105.014648,239.75,139.31,135.87,,,-1.26,17.52,0.004,199.3,10743.8,5.26,12.536,34.16,18.75,0.00158,0.008366,,695.88,61.026,11.82,316.09,0.349,4332.585,8.9119,13.9066,15.5803,8.06885,62.75
78209,10066.8,229.94,12.0,39.545891,-105.013672,239.76,140.55,137.41,,,-1.22,15.97,-0.009,200.22,10723.0,5.04,12.536,34.24,18.87,0.001564,0.008399,,696.35,61.058,11.94,316.154,0.349,4333.4575,8.7762,14.0096,15.7123,7.93898,62.64
78210,10040.2,230.08,12.07,39.545036,-105.012741,239.88,141.9,139.09,,,-1.3,16.52,-0.033,198.95,10702.8,4.83,12.535,34.68,18.88,0.001569,0.008398,,696.83,61.298,11.93,316.087,0.349,4334.6626,8.6511,14.0062,15.7079,7.81891,60.79
78211,10024.0,229.61,12.43,39.544178,-105.011856,240.01,143.08,140.83,,,-1.29,19.99,-0.015,198.71,10682.5,4.62,12.535,35.35,18.85,0.001638,0.008332,,697.35,61.069,11.93,316.021,0.348,4335.918,8.5232,14.007,15.7091,7.69611,61.89
78212,10006.8,234.18,12.0,39.543301,-105.011024,240.25,144.46,142.39,,,-1.25,22.66,-0.006,199.49,10659.9,4.43,12.534,36.13,18.74,0.001639,0.00828,,697.83,61.521,11.78,315.791,0.349,4336.9512,8.4109,13.868,15.5308,7.5881,60.93
78213,9988.5,232.29,12.0,39.542366,-105.010155,240.27,145.97,144.18,,,-1.2,24.03,-0.047,200.21,10636.9,4.46,12.534,36.89,18.88,0.001653,0.008243,,698.41,61.778,11.9,315.843,0.35,4338.7192,8.4281,13.9733,15.6659,7.59745,60.48
78214,9965.2,232.15,11.93,39.541424,-105.009354,240.63,147.66,145.78,,,-1.19,24.49,-0.068,200.82,10617.4,4.73,12.533,37.56,19.03,0.001658,0.008222,,699.04,62.829,11.93,315.799,0.353,4340.5654,8.5878,14.0037,15.7047,7.73621,61.54
